timestamp,heart_rate,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gas,temperature,activity
14:00:00,78,0.1,0.2,9.8,0.01,0.02,0.01,20,30,standing
14:00:01,80,0.2,0.2,9.7,0.01,0.02,0.02,21,30,standing
14:00:02,82,0.2,0.3,9.8,0.02,0.03,0.02,23,31,walking
14:00:03,85,0.3,0.2,9.7,0.02,0.02,0.03,25,31,walking
14:00:04,88,0.3,0.3,9.6,0.03,0.03,0.03,28,32,walking
14:00:05,90,0.4,0.3,9.6,0.03,0.04,0.04,32,33,walking
14:00:06,93,0.4,0.4,9.5,0.04,0.04,0.04,37,33,crawling
14:00:07,96,0.5,0.3,9.5,0.04,0.05,0.05,43,34,crawling
14:00:08,99,0.5,0.4,9.4,0.05,0.05,0.06,50,35,crawling
14:00:09,102,0.6,0.4,9.4,0.05,0.06,0.06,58,36,crawling
