scenario,heart_rate,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gas,temperature,activity
normal,75,0.1,0.2,9.8,0.01,0.02,0.01,20,30,standing
normal,76,0.1,0.2,9.8,0.01,0.02,0.01,20,30,standing
normal,77,0.1,0.2,9.8,0.01,0.02,0.01,21,30,standing
normal,78,0.1,0.2,9.8,0.01,0.02,0.01,21,30,standing
normal,79,0.1,0.2,9.8,0.01,0.02,0.01,22,30,standing
walking,80,0.2,0.2,9.7,0.02,0.02,0.01,20,30,walking
walking,82,0.3,0.3,9.7,0.03,0.03,0.02,21,30,walking
walking,84,0.4,0.2,9.6,0.04,0.03,0.02,22,31,walking
walking,86,0.5,0.3,9.6,0.05,0.04,0.03,23,31,walking
walking,88,0.6,0.4,9.5,0.06,0.04,0.03,24,31,walking
environment_risk,80,0.1,0.2,9.8,0.01,0.02,0.01,20,30,standing
environment_risk,82,0.1,0.2,9.8,0.01,0.02,0.01,25,31,standing
environment_risk,84,0.1,0.2,9.8,0.01,0.02,0.01,30,32,standing
environment_risk,86,0.1,0.2,9.8,0.01,0.02,0.01,40,34,standing
environment_risk,88,0.1,0.2,9.8,0.01,0.02,0.01,55,36,standing
combined_risk,82,0.2,0.3,9.7,0.02,0.03,0.02,20,30,walking
combined_risk,87,0.3,0.3,9.6,0.03,0.03,0.02,25,31,walking
combined_risk,92,0.4,0.4,9.6,0.04,0.04,0.03,32,33,crawling
combined_risk,97,0.5,0.4,9.5,0.05,0.05,0.04,45,35,crawling
combined_risk,102,0.6,0.4,9.4,0.06,0.05,0.04,60,37,crawling
